i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
65	1076.31866676	2308.17282954	0.0	1050.49763203	2262.19979462	47.7340315958	-25.821034734831443	-45.9730349197424	47.73403159579249
66	1044.83535846	2346.73863777	0.0	1142.2396971	2282.06761827	-23.4935708814	97.40433864488153	-64.67101949992062	-23.493570881404068
67	1012.55032559	2385.41908006	0.0	1034.78779148	2410.62702553	85.2946472572	22.23746588420923	25.207945471904637	85.29464725724921
68	979.445663301	2424.21308487	0.0	1008.65167062	2420.9039028	-57.334591401	29.206007318257264	-3.3091820704140247	-57.3345914010132
69	945.502928681	2463.11934014	0.0	1006.5019517	2469.1229867	49.7795349905	60.99902302270823	6.003646557576616	49.77953499054695
70	910.703127313	2502.13627812	0.0	818.884234062	2582.83977129	99.8815165059	-91.81889325146915	80.70349317259925	99.88151650587099
71	875.026699631	2541.26205933	0.0	790.736575	2625.33976342	-23.6406371537	-84.29012463108172	84.0777040964681	-23.640637153683144
72	838.453507121	2580.49455555	0.0	835.668496989	2496.90808629	68.2216309399	-2.785010132022478	-83.586469264275	68.22163093987533
73	800.962818399	2619.83133187	0.0	730.182370045	2601.89044046	84.7375400026	-70.78044835360018	-17.9408914045148	84.73754000261042
74	762.533295194	2659.26962757	0.0	816.060640283	2728.87990883	91.827054754	53.52734508907423	69.61028126458072	91.82705475400027
75	723.142978263	2698.80633601	0.0	740.399657231	2767.37547471	-87.840244811	17.256678967770853	68.56913869300516	-87.84024481103394
76	682.769273282	2738.43798328	0.0	657.94907908	2739.83176361	13.913462406	-24.82019420191361	1.3937803295160052	13.913462406016038
77	641.388936758	2778.1607056	0.0	669.247104635	2774.92992464	68.0054201613	27.858167876434152	-3.230780960745051	68.00542016125686
78	598.978062009	2817.97022545	0.0	559.019424805	2874.10199339	-15.2300618632	-39.95863720459975	56.131767940687695	-15.230061863203929
79	555.512065266	2857.86182629	0.0	548.912131789	2910.96510966	70.9424842025	-6.599933477215103	53.10328337583664	70.94248420247058
80	510.965671967	2897.83032588	0.0	417.109332537	2992.22701936	74.379737277	-93.85633943027378	94.39669348936425	74.37973727702425
81	465.312903298	2937.87004799	0.0	411.741056119	2862.56413	80.5055354133	-53.57184717915695	-75.305917993572	80.50553541329495
82	418.527063077	2977.97479261	0.0	492.242706698	3012.52259596	-65.4104282004	73.71564362158543	34.547803344921135	-65.41042820038017
83	370.580725051	3018.13780434	0.0	463.109723551	2942.88108503	-96.6179615661	92.52899850037792	-75.25671931484638	-96.61796156608551
84	321.445720713	3058.35173912	0.0	279.955279546	3035.25169404	-58.1543073671	-41.490441167026695	-23.100045077037066	-58.154307367074566
85	271.093127742	3098.60862901	0.0	228.974176723	3135.8659688	-61.0176639426	-42.11895101878345	37.257339794646526	-61.017663942626314
86	219.493259176	3138.89984507	0.0	219.984041932	3093.82688865	53.72560004	0.4907827566854195	-45.07295641909768	53.725600039976825
87	166.615653468	3179.21605814	0.0	260.60036826	3172.77188512	-4.75472733853	93.98471479225432	-6.4441730196201945	-4.754727338534593
88	112.429065551	3219.54719748	0.0	183.842667288	3293.08248107	94.6470189327	71.41360173758224	73.53528359123081	94.6470189326817
89	56.9014590749	3259.88240714	0.0	-21.4957766434	3268.84887511	17.3358750714	-78.3972357183554	8.96646796791994	17.33587507142967
90	2.02079580651e-13	3300.21	0.0	33.6034754748	3302.01450705	21.4495545125	33.603475474813195	1.8045070481594365	21.449554512516585
91	-58.3089482733	3340.51740931	0.0	-15.8502564286	3327.92772778	29.5703625835	42.458691844706266	-12.589681523917847	29.570362583478897
92	-118.059828018	3380.79113765	0.0	-217.024396965	3342.84709743	79.2643157191	-98.96456894748908	-37.94404021936675	79.26431571911769
93	-179.287888307	3421.01670323	0.0	-89.6677438295	3382.24861049	-22.8011416432	89.62014447713588	-38.76809273919437	-22.80114164320983
94	-242.029183904	3461.17858339	0.0	-158.837175334	3548.04963121	-41.0845175391	83.19200856949354	86.87104782299514	-41.08451753906914
95	-306.320571631	3501.26015515	0.0	-325.413204668	3555.97765501	75.5426263184	-19.092633037327516	54.717499855949995	75.54262631841351
96	-372.199703916	3541.24363281	0.0	-276.647734499	3508.73139281	-39.6641104999	95.55196941643032	-32.51223999464257	-39.66411049994185
97	-439.705019185	3581.11000236	0.0	-499.368013639	3575.3013594	95.7861203754	-59.66299445364736	-5.808642958649401	95.78612037541566
98	-508.87572874	3620.83895273	0.0	-558.084148297	3581.26727599	88.2965668333	-49.208419557193906	-39.571676743116925	88.29656683334755
99	-579.751799722	3660.40880363	0.0	-623.705867643	3700.28086508	52.3026092644	-43.954067920820485	39.872061444258634	52.30260926437728
100	-652.373933745	3699.79643004	0.0	-636.386524274	3633.09641377	-23.1698314449	15.987409471064367	-66.70001627351543	-23.16983144489629
101	-726.783540713	3738.97718312	0.0	-630.606059166	3707.63983686	64.5163631025	96.17748154787716	-31.33734626016127	64.51636310248901
102	-803.022707349	3777.92480759	0.0	-863.66310814	3740.63380628	-86.5680980768	-60.64040079145583	-37.29100131184096	-86.56809807682701
103	-881.13415985	3816.6113554	0.0	-802.299506418	3752.56146512	14.1997866368	78.83465343190147	-64.04989027692045	14.199786636806905
